DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT
20.09.2022,2022-09-20T00:00:00,,,30643-41-3,דירה בבית קומות,5,ראשונה,109,2,987,000,,,2024,,,3667535040,2,30643-41,false,
19.09.2022,2022-09-19T00:00:00,שטרן אברהם 33, ירושלים,שטרן אברהם 33,30415-230-35,דירה בבית קומות,3,תשיעית,56,1,200,000,,,1970,,9,3667307610,1,30415-230,false,0% ב 0.7 שנים
19.09.2022,2022-09-19T00:00:00,אלכסנדריון 27, ירושלים,אלכסנדריון 27,30143-187-41,דירה בבית קומות,3,שלישית,61.40,2,340,000,,,1972,,3,3667316280,1,30143-187,false,116% ב 9.6 שנים
19.09.2022,2022-09-19T00:00:00,אולשוונגר 19, ירושלים,אולשוונגר 19,30399-8-35,דירה בבית קומות,3,ראשונה,56.13,940,000,,,1970,,4,3667323660,1,30399-8,false,78% ב 5.2 שנים
19.09.2022,2022-09-19T00:00:00,בן אליעזר אריה 71, ירושלים,בן אליעזר אריה 71,28048-53-9,דירה בבית קומות,3,ראשונה,71,2,010,000,,,1970,,2,3667288530,1,28048-53,false,44% ב 5.2 שנים
19.09.2022,2022-09-19T00:00:00,תמיר שמואל 47, ירושלים,תמיר שמואל 47,31338-62-5,דירה בבית קומות,5,קרקע, ראשונה,147.20,3,300,000,,,1991,,1,3667309350,1,31338-62,false,
18.09.2022,2022-09-18T00:00:00,,,30212-2-90,,5,שניה,124,2,459,209,1,,,,,11006911738,2,30212-2,false,
18.09.2022,2022-09-18T00:00:00,,,30212-2-93,דירה בבית קומות,4,ראשונה,109,2,161,000,,,2022,,,3667581330,2,30212-2,false,
18.09.2022,2022-09-18T00:00:00,,,30212-3-87,דירה בבית קומות,5,שניה,125,2,388,000,,,2022,,,3667593450,2,30212-3,false,
18.09.2022,2022-09-18T00:00:00,השישה עשר 5, ירושלים,השישה עשר 5,30661-9-3,דירה בבית קומות,3,ראשונה,60,1,890,000,,,1990,,4,3667307370,1,30661-9,false,45% ב 4.6 שנים
18.09.2022,2022-09-18T00:00:00,סלמן יעקב 1, ירושלים,סלמן יעקב 1,30337-235-2,דירת גן,4,קרקע,78.40,4,315,000,,,2008,,4,3667360050,1,30337-235,false,
17.09.2022,2022-09-17T00:00:00,,,30212-2-86,,4,רביעית,109,2,161,040,1,,,,,11006911687,2,30212-2,false,
17.09.2022,2022-09-17T00:00:00,,,30212-2-88,,4,רביעית,109,2,239,333,1,,,,,11006911696,2,30212-2,false,
17.09.2022,2022-09-17T00:00:00,,,30212-2-89,,4,ראשונה,108,2,334,064,1,,,,,11006911697,2,30212-2,false,
17.09.2022,2022-09-17T00:00:00,,,30212-3-86,,5,,125,2,388,935,1,,,,,11006911698,2,30212-3,false,
17.09.2022,2022-09-17T00:00:00,,,30212-2-85,,4,ראשונה,109,2,159,741,1,,,,,11006911708,2,30212-2,false,
17.09.2022,2022-09-17T00:00:00,,,30212-2-84,,4,שניה,109,2,137,869,1,,,,,11006911718,2,30212-2,false,
17.09.2022,2022-09-17T00:00:00,,,30212-2-87,,4,ראשונה,108,2,204,993,1,,,,,11006911724,2,30212-2,false,
17.09.2022,2022-09-17T00:00:00,,,30212-3-85,,4,שניה,109,2,110,998,1,,,,,11006911725,2,30212-3,false,
17.09.2022,2022-09-17T00:00:00,,,30212-2-83,,3,שביעית,79,1,607,645,1,,,,,11006911734,2,30212-2,false,
